binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,duplicate_1,random choice 2,multicollinearity 2,duplicate_2,multicollinearity 1,informative_1,uniform corr 2,pd qcut3,random label num 12,uniform corr 1,constant_1,correlated w target 1,semi_constant_2,correlated w target 2,min max scaling,random label num 4,target,pd qcut1,outliers 1,standard scaling,constant_2,informative_2,pd qcut2,random choice 4,semi_constant_1,multicollinearity 4,random choice 7,outliers 2,corr_feature_class,multicollinearity 3,class
binary_1,Kara,Burgess,2019-03-31,+1-867-393-0230x17196,,151 Donald Corners,,SD,57420,-0.9991017824896424,Rand Choice 1,0.5692574195383433,-0.6638599972813359,,-0.9991017824896424,0.2999582872968727,G4,,0.20129409081363825,constant_value,2.1971825847681763,q_const_0,1.9786784428595212,400.37043041227747,label num lo 3,-0.9042236742875387,,-0.618915999104571,46313.53666765839,constant_value,-0.6638599972813359,Q2,North,q_const_0,0.6036672777865315,Friday,2.0500757784223596,,0.33522949917940464,1
binary_2,Allen,Conley,1918-07-17,+1-918-935-1839x3808,ladams@example.net,,,HI,94112,1.2466861830450993,,,1.153596854135379,0.295578712897055,1.2466861830450993,0.9445057556518611,G5,,0.9137039451735287,constant_value,2.663553402873389,q_const_0,0.6523255959747762,450.91351366175195,label num lo 3,2.324369783092482,High,,46822.49956195865,constant_value,1.153596854135379,Q3,,q_const_0,-0.9769970003478975,,-0.7327219088868393,4.659842726042431,-0.9731285416021537,1
binary_1,Carla,Hall,1973-03-31,997.452.0320x2250,perezmelissa@example.com,27803 Shawn Crescent,Keithton,VI,69637,0.9627768269601935,Rand Choice 1,-2.1085497464593526,0.8593974662590766,,0.9627768269601935,0.5405807451670611,G5,label num hi 2,,constant_value,4.8548405666016645,q_const_0,-0.48169246113707276,352.9088611677606,label num lo 3,1.7782165547025084,High,-1.3255281909593841,53413.48037811657,constant_value,0.8593974662590766,Q3,North,q_const_0,-0.348289549236926,Tuesday,-0.821303624971792,2.584839738050965,-0.07904950351738725,1
binary_2,,,1995-08-28,5442048430,cbuckley@example.com,6098 Morris Park,Matthewchester,MH,03663,-2.9574409509433037,Rand Choice 1,-0.40473571461477353,2.0336452879154674,-0.09945531671963645,-2.9574409509433037,0.578229297020008,G6,,0.7511963955503027,constant_value,6.613392286201655,q_const_0,2.949315789034345,291.55283311786707,label num lo 2,5.451234575139656,High,1.3601640395495118,49713.8352876317,constant_value,2.0336452879154674,Q4,West,q_const_0,2.190148473108138,Thursday,2.3104397783661046,,1.4113631381788339,1
binary_1,Sarah,,2007-09-22,,eparsons@example.org,98967 Smith Summit Suite 729,Halehaven,SC,67090,1.1411652716579705,Rand Choice 2,,1.05944863351561,0.16954962681238517,1.1411652716579705,0.7722831382804738,G5,label num hi 4,,constant_value,0.3584866712520839,q_const_0,,229.30566680473675,label num lo 2,2.1539258469951807,High,-1.997905004246433,53738.5600426674,constant_value,1.05944863351561,Q3,East,q_const_0,-0.515288144752121,Saturday,2.903452042576016,,-0.8488570143777228,1
binary_2,,Mccoy,1910-05-20,988.331.2569x1680,johnjimenez@example.org,424 Peter Trail,,CT,72091,2.485477863898728,Rand Choice 2,-1.0461181160175936,2.399635889224372,,2.485477863898728,0.6963455987540583,G6,label num hi 4,0.848298251920105,constant_value,2.522390174690444,q_const_0,,416.248674970762,label num lo 4,4.626787069235546,High,-1.2538742391897035,61977.30554314044,constant_value,2.399635889224372,,South,q_const_0,0.66624771393036,Monday,0.8313878183467942,8.729480302413283,1.2564657534091128,1
binary_1,Carol,,1930-07-28,996.429.4170,,,West Peter,MA,12549,-0.6479636736717482,Rand Choice 1,,-0.747560845179044,1.5975500543241192,-0.6479636736717482,0.341249850234243,G3,label num hi 7,0.5859923276356125,constant_value,,q_const_0,-4.878909173752575,348.42397561732906,label num lo 3,-1.187224231921867,,2.5083876729467525,41808.04512208968,constant_value,-0.747560845179044,,South,q_const_0,-0.056671640876618454,Wednesday,2.0729603351186805,0.7147938993129055,-0.550984826640642,0
binary_2,Michael,Russell,2005-10-16,611-701-2458x480,joygriffin@example.org,161 Molina Highway,,CA,06801,-0.8922328125534437,,,-0.8182224427035356,,-0.8922328125534437,0.15401064538365233,G3,label num hi 4,0.6862089473795782,constant_value,,q_const_0,2.376059205509237,331.1881927833532,label num lo 1,-1.266374292198878,Low,,56167.37726403412,constant_value,-0.8182224427035356,Q2,East,q_const_0,0.8220202355517877,Monday,0.420533845684119,2.2691255954807836,0.6929375788152937,0
binary_2,Hayden,Stevens,1990-10-02,+1-244-420-8878x1649,,,,WV,46186,-0.7273359834485558,Rand Choice 2,,-0.09154666780661158,-0.5883600498669307,-0.7273359834485558,0.2420476181278683,G4,label num hi 3,0.7762521901806546,constant_value,1.2163711717476327,q_const_0,-2.299468612290274,392.8098014146697,label num lo 2,0.24111056261580832,High,,31704.934131797756,constant_value,-0.09154666780661158,,East,q_const_0,0.8215707051525817,,,1.257039284741367,1.187321998185834,0
binary_2,David,,2016-05-09,294-533-2411x61192,dustinhuff@example.com,,East Abigail,GU,87657,0.9753643211025785,Rand Choice 2,,-1.8069333466532713,-0.8211414138471803,0.9753643211025785,0.20919145394865052,G1,,0.2424757896751224,constant_value,-4.007524876205927,q_const_0,-3.203574854181068,374.8194557685119,label num lo 2,-3.935564389564147,Low,1.345914482740389,48022.06441997399,constant_value,-1.8069333466532713,Q1,East,q_const_0,-1.226885922813308,,,4.3226795131218925,-1.4894160501219462,0
binary_1,Jessica,,1927-06-09,+1-237-655-1335x258,ihester@example.net,,Kingbury,DC,56354,0.5210909070320509,Rand Choice 1,2.333847598273249,0.6640066001907508,1.6926907682763175,0.5210909070320509,0.8524295262224586,G5,label num hi 1,0.33410530954216444,constant_value,,q_const_0,-0.7116899551201941,,label num lo 3,1.4902846231827178,,,47886.25489764805,constant_value,0.6640066001907508,Q3,North,q_const_0,0.3135921686807218,Sunday,-1.5915052939895373,,0.3669455173865415,1
binary_1,,,1955-02-22,001-663-288-0131x653,pauljames@example.org,,New Katie,AZ,48716,1.298410809303382,Rand Choice 1,-2.062376105272719,1.0453063757400651,-0.3133852719135943,1.298410809303382,0.8545226231893255,G5,label num hi 3,0.8832210795578763,constant_value,2.9991960696342703,q_const_0,2.509765670784876,371.87683640828055,label num lo 1,2.077177886048961,High,,45504.73447175623,constant_value,1.0453063757400651,,North,q_const_0,-0.02789089071240681,,3.891645032503252,,-0.3940532923956275,1
binary_2,Benjamin,,1997-02-25,001-861-685-8818,psimpson@example.net,447 Coleman Roads,,MT,26367,-0.6860766332166293,Rand Choice 2,,-0.21730425574735168,-0.10171103362899522,-0.6860766332166293,0.37441878054542577,G4,label num hi 12,0.7463572545717561,constant_value,,q_const_0,0.20552139059179123,374.52570471642457,label num lo 3,-0.04039569818845051,Low,-1.083028484563904,,constant_value,-0.21730425574735168,Q2,South,q_const_0,-0.4737379483566139,Wednesday,6.96312498415366,0.6910466962521189,-0.5402340005512727,0
,Hannah,Howell,1965-12-24,,stephanieray@example.com,1544 Espinoza Hills Suite 408,West Heather,HI,51434,2.9251395877620867,,1.4321172595367138,2.7119608896597107,1.0580056828389506,2.9251395877620867,0.8155511121804275,G6,label num hi 4,,constant_value,-0.6325482008066405,q_const_0,4.658766171072156,347.1487175016749,label num lo 1,5.165736554096395,,0.26380746078615475,47952.64365260679,constant_value,2.7119608896597107,,,q_const_0,-0.4330827821178733,Thursday,0.9157854721410623,,-0.534406988061657,1
,Travis,Zimmerman,1996-09-25,+1-515-688-0260x3174,,,,OK,63346,1.882030027039841,Rand Choice 1,,1.646367141258015,-1.0004894520413332,1.882030027039841,0.35951096316014963,G6,label num hi 12,0.5150773045458035,constant_value,,q_const_0,3.7982274428366463,79.36838744074853,label num lo 2,3.1919319238247565,,,69121.53308052047,constant_value,1.646367141258015,Q4,,q_const_0,-0.10383681948206991,,2.8458320209964407,,-0.03449129221707476,1
binary_1,Megan,Petersen,1921-10-25,545.832.0038,hartjillian@example.net,,,,,1.0198391116840506,,,1.0474848470309324,-0.22716098244000754,1.0198391116840506,0.2936604791074373,G5,label num hi 6,0.3620772554082037,constant_value,4.123636857632433,q_const_0,6.556369654018507,220.30190822891484,label num lo 4,2.16415341226954,High,,46362.65837608317,constant_value,1.0474848470309324,Q3,West,q_const_0,0.7539319097727095,,3.5133936162831003,10.043735978107545,-0.3949768186464375,1
binary_2,,,2021-10-09,706-368-0691,loweryryan@example.net,13730 Tabitha Flats,,IL,88452,-0.3714869425311782,,0.4185659638818162,-0.8983006964065531,-0.6173960427633618,-0.3714869425311782,0.3315614730714408,G3,label num hi 7,0.8757395273136676,constant_value,-0.1842883360287043,q_const_0,-1.1825303736429815,281.60253723980225,label num lo 3,-1.5917313144198164,Low,-0.19649163678754386,28138.94047450336,constant_value,-0.8983006964065531,Q2,,q_const_0,0.07097784131206576,Tuesday,-1.5190368357256139,-1.6728267717588365,,0
binary_1,,,2018-12-07,001-589-652-1341x42405,brittanycalhoun@example.net,,West Shannonhaven,OK,92604,-2.409975872086312,Rand Choice 2,-0.9857844314523387,1.5115778404585067,-0.14612847349170147,-2.409975872086312,0.290784355122212,G6,label num hi 7,,constant_value,1.1506102690545879,q_const_0,4.367193219682961,266.43046953954837,label num lo 1,4.171443967670781,,-2.813176381615649,47327.18427867661,constant_value,1.5115778404585067,Q4,West,q_const_0,0.3962704249790809,,-5.6641883660117145,2.028697369199601,1.0476378084839113,1
binary_2,Casey,,2002-11-02,6656829496,sallywelch@example.com,,North John,NY,22021,0.5508509886724762,Rand Choice 1,,0.4724066441252236,-1.402106570788608,0.5508509886724762,0.810955359093937,G5,label num hi 7,0.19494744478280224,constant_value,,q_const_0,1.5740030715509297,341.7155458222372,label num lo 2,1.0711718257205494,High,,53662.30837532995,constant_value,0.4724066441252236,Q3,,q_const_0,-0.8463663508310845,Sunday,5.578044801466394,,-1.1535586093621228,0
binary_1,,,1975-12-03,709-282-0084x629,gregg21@example.org,97300 Holmes Mills,,NM,63349,-1.287894198500732,,0.4662463585779991,1.8961937668539977,-0.18190394992159067,-1.287894198500732,0.9734514915506229,G6,label num hi 4,0.5457251633387031,constant_value,-1.9631764107590226,q_const_0,1.1247161228539992,244.71103129475594,label num lo 2,4.663571335859559,High,,56716.67685290318,constant_value,1.8961937668539977,Q4,South,q_const_0,0.782329164367522,Tuesday,2.8118205918850423,10.442597193656601,1.0232066194830227,1
binary_2,,Lopez,1974-11-07,+1-615-996-0045x7046,monique99@example.org,,,FM,41543,-2.044462049230024,Rand Choice 2,,-0.41349414144382024,0.4401419414157996,-2.044462049230024,0.4857640547239619,G4,label num hi 4,0.572100221069237,constant_value,0.36465458053921884,q_const_0,-2.4473905364642095,335.54193237361034,label num lo 1,-0.05917940201608718,Low,,42672.22505835397,constant_value,-0.41349414144382024,Q2,East,q_const_0,-0.7423631599030954,Sunday,5.5750513683941225,1.5757607228373474,,1
binary_2,Charles,Ellis,1948-06-24,259.656.9510x805,danasims@example.org,9663 Jane Grove Apt. 685,,KS,91443,-0.8852896287436569,,,-1.3398820467032777,-0.5499042568305685,-0.8852896287436569,0.13400721359120166,G3,label num hi 6,0.13915273918018656,constant_value,-0.8880566713305177,q_const_0,-1.8072387241183647,433.79792680569,label num lo 3,-2.385582206089156,Low,3.577471038675572,67017.08293191477,constant_value,-1.3398820467032777,Q1,West,q_const_0,-1.3298354521818898,,1.3738935088789528,-3.194186738120857,,0
,Eric,Hamilton,1952-06-15,729.376.7128,jonathan95@example.net,,,VI,21729,1.0241831340573713,Rand Choice 1,,0.9747731471654596,0.766008143527091,1.0241831340573713,0.5684272499580333,G5,label num hi 8,0.7543527299746097,constant_value,-0.06488175563815757,q_const_0,-0.4564056798439933,40.17447118333908,label num lo 4,2.0071546527859363,High,0.29551800438706843,27881.83016040728,constant_value,0.9747731471654596,Q3,West,q_const_0,-0.285440336173174,Monday,3.159960060241762,1.232042610469986,-0.14823513331459287,1
binary_1,Cindy,,1949-12-22,453.688.5988x95251,fcooper@example.com,,,NE,25838,2.772118783740503,Rand Choice 1,-1.8905992783139096,-0.5603828863589755,,2.772118783740503,0.5884943540289632,G3,,0.2840502484315577,constant_value,,q_const_0,-4.224495303158436,522.4228053571587,label num lo 4,-1.796914443713002,Low,0.5391345275008802,66186.09950410237,constant_value,-0.5603828863589755,Q2,South,q_const_0,-0.7859469752958773,Tuesday,,-0.46771566492898486,-0.8672795866333495,0
binary_2,,,1920-10-27,001-597-730-9105,amarquez@example.com,74808 Jonathan Dale Apt. 472,,PW,71141,2.894620275821785,Rand Choice 2,1.425707761914737,2.9689279268649393,,2.894620275821785,0.9588883146024111,G6,label num hi 8,0.9910431178312528,constant_value,2.2072360204987214,q_const_0,4.079362562402739,,label num lo 2,5.725060088355324,High,-2.9324273768806064,53311.39970114167,constant_value,2.9689279268649393,Q4,East,q_const_0,1.1597175638439514,,0.5832997031663463,1.4432034257676314,,1
binary_2,,,1930-01-10,001-408-393-9578x94618,ngriffin@example.org,,,NC,60850,-1.5337204517022132,Rand Choice 1,,-2.6249741737657706,-0.23096625921576824,-1.5337204517022132,0.13829868636694337,G1,label num hi 12,0.029634809875931378,constant_value,-1.499334960274449,q_const_0,-2.604319660522954,256.0391743254206,label num lo 1,-4.94606867736609,Low,-1.2116922776933114,39523.73367898211,constant_value,-2.6249741737657706,,North,q_const_0,0.12580102632532209,Sunday,2.263731814007822,1.8607510060590475,-0.8141892894161749,0
binary_2,John,,1957-05-27,001-699-551-8478x001,bakerlisa@example.org,,Miguelmouth,TN,08461,0.02098191690910778,Rand Choice 2,,-0.06760796056650875,0.7083239741151914,0.02098191690910778,0.6662708818535779,G4,label num hi 4,,constant_value,1.957737187700947,q_const_0,-0.4211117641498072,329.6370919166639,label num lo 4,0.07126907475273472,,1.2196395567055882,,constant_value,-0.06760796056650875,Q3,East,q_const_0,-0.6448389204071237,,,10.4593900564299,-0.6107226402065696,1
binary_1,,Gregory,1989-03-21,5157918680,ehayes@example.net,,,,,1.8443231378056928,Rand Choice 1,,-1.2217076521647443,-1.162853377233174,1.8443231378056928,0.09240842916567671,G2,label num hi 7,0.11025069460434178,constant_value,,q_const_0,-1.3532723243657876,321.6541106488902,label num lo 2,-2.939031799307607,Low,,20023.769613617766,constant_value,-1.2217076521647443,Q1,North,q_const_0,0.8557899954662233,Thursday,3.893196302228334,-1.2762062348798664,0.43475689649518123,0
binary_2,,,1953-06-07,,,82290 Holt Meadows Suite 809,,WA,29471,1.0483525417087796,Rand Choice 1,1.1326485881776192,0.961774366183153,1.3547190600405439,1.0483525417087796,0.5496477037347496,G5,label num hi 11,,constant_value,0.19882172853854096,q_const_0,4.706422989129551,417.78665434371976,label num lo 1,1.9721758144260035,,0.08145989533457333,47701.94071681195,constant_value,0.961774366183153,,South,q_const_0,0.7989719068138669,,1.3046466285133593,1.6793919979647267,0.9533164360691064,1
binary_1,Sherri,,1998-08-09,226-876-6545x22417,raymondrichardson@example.net,,East Matthew,VA,23926,2.4004610305674445,Rand Choice 2,,-0.8989091039422038,-1.5765499345753227,2.4004610305674445,0.31426007508326304,G3,label num hi 1,0.3836475795000779,constant_value,,q_const_0,-5.473606397620424,196.10460602313566,label num lo 2,-2.4120682514447593,Low,,44854.64292576469,constant_value,-0.8989091039422038,,South,q_const_0,1.0088711710696716,,,,1.198101240905228,0
binary_2,Kevin,,1947-10-14,4307337832,zmoore@example.com,,East Loriton,ND,37502,-0.9062701513138482,Rand Choice 2,,-0.9198365268034259,0.3969510681511839,-0.9062701513138482,0.7508743655795831,G3,label num hi 4,0.05211067142902196,constant_value,1.4069557087167706,q_const_0,-0.14990830450441006,357.7370061203331,label num lo 3,-1.479837561849778,Low,-2.2257065762754586,42583.593774537985,constant_value,-0.9198365268034259,Q2,East,q_const_0,0.4789647780032237,Wednesday,2.0507758995923013,2.069989898031833,0.48353714766285427,0
binary_2,Brian,,2019-07-24,7083836964,brianvega@example.com,,,,,0.6856439278887565,Rand Choice 1,0.33313264982833535,-0.812080630970504,,0.6856439278887565,0.40520810004346314,G3,label num hi 1,0.4602383641932709,constant_value,,q_const_0,1.30456275216276,310.72267460716336,label num lo 1,-1.719440301667864,Low,,63687.288442099794,constant_value,-0.812080630970504,,South,q_const_0,-0.332082513302915,Thursday,0.10935048732779684,,,0
binary_1,,,1944-01-31,333-714-8480x831,,,,CA,62698,-0.042585889530903476,Rand Choice 2,,0.08777843129015706,0.21316633849211333,-0.042585889530903476,0.8699129201753903,G4,,0.43538294533545374,constant_value,,q_const_0,-0.9390796461711554,166.78713256269987,label num lo 3,0.42281822091030685,,-1.1800411817108685,40000.27097153365,constant_value,0.08777843129015706,Q3,,q_const_0,-0.6480619741805933,,5.146533741880329,,,1
binary_1,Heather,Brown,2013-07-18,627.627.5388,cgutierrez@example.net,,Lake Justinbury,DC,16743,-1.5108282778358584,Rand Choice 2,,2.995192146813761,0.017569154169605115,-1.5108282778358584,0.8051653182536143,G6,,0.9780671633994609,constant_value,0.7048617663298926,q_const_0,5.434493023553511,388.4489425536838,label num lo 1,7.08299431672875,,-1.4224684389025806,43310.38024555887,constant_value,2.995192146813761,Q4,West,q_const_0,-0.8671465318685091,Sunday,3.1713823647196726,7.159177742097547,-0.5042130779901021,1
,,Mays,1925-07-01,737.584.4929,belldonna@example.org,71305 Ashley Rest Suite 777,,NY,10324,-0.899755982803224,Rand Choice 1,,-0.2932547227154315,1.1742791345788623,-0.899755982803224,0.652705535306042,G4,,0.9288209598084588,constant_value,-0.6328780490775454,q_const_0,-0.7461839302872401,502.88633654984966,label num lo 1,-0.13991053620578175,,-0.24503164520086076,56113.4211147984,constant_value,-0.2932547227154315,Q2,South,q_const_0,-0.3405708240069364,,1.0915157158073927,-4.87449483950101,0.004359582701860053,0
